Loc,DateOfMonth,Weekday,Hour,NoOfBookings
3,15,1,19,17627
3,15,1,20,17752
3,15,1,21,17890
3,15,1,22,18004
3,15,1,23,18073
3,16,2,0,18102
3,16,2,1,18110
3,16,2,2,18112
3,16,2,3,18113
3,16,2,4,18122
3,16,2,5,18133
3,16,2,6,18145
3,16,2,7,18186
3,16,2,8,18235
3,16,2,9,18274
3,16,2,10,18313
3,16,2,11,18354
3,16,2,12,18400
3,16,2,13,18440
3,16,2,14,18491
3,16,2,15,18539
3,16,2,16,18602
3,16,2,17,18707
3,16,2,18,18808
3,16,2,19,18875
3,16,2,20,18948
3,16,2,21,19008
3,16,2,22,19080
3,16,2,23,19129
3,17,3,0,19161
3,17,3,1,19169
3,17,3,2,19173
3,17,3,3,19180
3,17,3,4,19186
3,17,3,5,19193
3,17,3,6,19207
3,17,3,7,19245
3,17,3,8,19303
3,17,3,9,19353
3,17,3,10,19399
3,17,3,11,19437
3,17,3,12,19480
3,17,3,13,19538
3,17,3,14,19603
3,17,3,15,19662
3,17,3,16,19743
3,17,3,17,19851
3,17,3,18,19967
3,17,3,19,20084
3,17,3,20,20171
3,17,3,21,20276
3,17,3,22,20376
3,17,3,23,20457
3,18,4,0,20504
3,18,4,1,20535
3,18,4,2,20549
3,18,4,3,20555
3,18,4,4,20561
3,18,4,5,20571
3,18,4,6,20583
3,18,4,7,20606
3,18,4,8,20636
3,18,4,9,20669
3,18,4,10,20706
3,18,4,11,20739
3,18,4,12,20777
3,18,4,13,20822
3,18,4,14,20872
3,18,4,15,20919
3,18,4,16,20977
3,18,4,17,21040
3,18,4,18,21097
3,18,4,19,21162
3,18,4,20,21231
3,18,4,21,21298
3,18,4,22,21357
3,18,4,23,21418
3,19,5,0,21457
3,19,5,1,21483
3,19,5,2,21502
3,19,5,3,21509
3,19,5,4,21517
3,19,5,5,21522
3,19,5,6,21531
3,19,5,7,21537
3,19,5,8,21552
3,19,5,9,21562
3,19,5,10,21584
3,19,5,11,21616
3,19,5,12,21651
3,19,5,13,21686
3,19,5,14,21734
3,19,5,15,21776
3,19,5,16,21831
3,19,5,17,21898
3,19,5,18,21950
3,19,5,19,22023
3,19,5,20,22087
3,19,5,21,22135
3,19,5,22,22195
3,19,5,23,22263
3,20,6,0,22308
3,20,6,1,22338
3,20,6,2,22359
3,20,6,3,22363
3,20,6,4,22367
3,20,6,5,22374
3,20,6,6,22378
3,20,6,7,22383
3,20,6,8,22393
3,20,6,9,22413
3,20,6,10,22444
3,20,6,11,22483
3,20,6,12,22524
3,20,6,13,22566
3,20,6,14,22609
3,20,6,15,22652
3,20,6,16,22698
3,20,6,17,22736
3,20,6,18,22771
3,20,6,19,22802
3,20,6,20,22833
3,20,6,21,22868
3,20,6,22,22893
3,20,6,23,22909
3,21,0,0,22923
3,21,0,1,22927
3,21,0,2,22929
3,21,0,3,22933
3,21,0,4,22938
3,21,0,5,22951
3,21,0,6,22967
3,21,0,7,22997
3,21,0,8,23044
4,21,0,9,23071
